Link,Id,Product_Category,Product_Name,Rating,Review_Rating,Review_Title,Review_Text,Review_Date
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,"Great product, easy install","You absolutely can not beat this price. I ordered it on a Thursday and received it on Friday. The look is fantastic. Despite what others say about the brightness of the lights, I seem to think they are adequate. I haven't been able to use this yet for cooking as my range is backordered, but on the highest speed this baby seems to zoom. For $300 plus the charcoal inserts for $20, you really can't go wrong. Great Buy!",05-21-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,1,Z-Line provided dry wall screws to hang range hood!,"No kidding.  I got the outdoor model, and it included clear instrucitons to use the two dry wall screws to hang and support the whole range hood.

How ludicrous.  I can tell you where the rangehood would be if a slight wind blew.

I expected a framework to be included for solid install.  Nope.

Also the screws holes for the chimney flue are too large for the bolts they provided.

The range hood might be great -- but who cares if it falls off the wall or the wind blows it down the street.

I wouldn't recommend Z-line.

Can I give ZERO stars?",05-20-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,Great Product at a great price,"Ordered the hood a few months ago so I could make sure everything fit properly and the wiring would work properly.  Finally got it up and running a few weeks ago and it looks great.  Needed a few duct fittings to match our existing ducts, but it was fairly simple.

The hood looks great in our new kitchen and is a focal point.  Was going to buy one locally, but it had bad reviews and cost twice as much as this one.  The local one also didn't have the cool looking blue indicator lights on it.

Highly recommend it.",05-08-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,Great so far!,"The hood arrived quickly and very well packaged. I opened it up to check everything and was quite pleased with the quality of the product. I don't have this installed yet, so I will update my review after I get some use out of it.

edit:  I have had this installed for a few months now and still love it.  Very nice looking and
  and works like a champ. Not much else to say really, except that it's awesome!",05-06-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,Best price!,Great looking vent for our updated kitchen. I shopped around and most items comparable were double the price. It shipped quickly and without a scratch on it.,04-15-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,WOW! Proline series 4 level superior suction!,"4 count them, 4--button levels of air suction! Stainless Steel is not cheap but high grade & heavy thickness. My hood arrived in pristine condition & best packing I have EVER seen, so was well-pleased.

My 30"" version of this unit has 3 removable Stainless Baffle sections which was FREE upgrade from aluminum screening, and the buttons are on the vertical front ledge of unit with a DIGITAL readout screen of the level of chosen suction and even has time-delay on shut-off = BONUS!

-Has a 3-prong plug to plug in and check if working the moment it arrived.
-The exit of the 6"" round flu from motor has a butterfly damper that opens when fan engaged so will be great to prevent back flow from exterior.
-The two piece chimney surrounds are also heavy duty Stainless Steel and uppermost section has two sides consisting of a series of venting to dispel heat at top sides.
-The entire hood and two sections are protected by a clear or blue skin of plastic that is easily removed after installation.
-There is an included small approximately 2""X3"" clear plastic topless box that has slots that slide into brackets under motor housing that is supposed to catch any accumulating grease from motor area low point that is accessed via the removable baffle. This then can be emptied and wiped clean with ease.
-Installation is easily done & straightforward...find the centerpoint of stovetop/range and have center of hood match this point and mark two hanger holes at level into studs with provided heavy gauge screws (rip open wall & install stud if not there--molly screws are NOT going to work here--after all won't be seen anyway as hood covers it).

Con:
-Two halogen lights are in rear of unit and are only 20 Watt each so total 40Watt so woefully dim for cooking surface...I have upper cabinets on both sides so I am installing under cabinet lights on both sides to compensate.

I have not permanently installed totally on wall yet as am doing some extension of wiring in wall behind hood in wall but will update when totally complete with photos. I am using the two baffles on interior two exits of blower motor but I am doing a hollow faux wood beam to cover the metal 6"" flu system across the room to vent through out through bump-out dinette roof.

This hood totally blows away the competition at Lowe's or HomeDepot stores...and the price is at least $100-400 BELOW comps with these features anywhere online.

Recommend this product.",04-08-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,Best Value for the Money.,"This product is comparable to ones sold at Lowes and Home Depot by manufacturer Broan.  One like this retailed for around $449 and is special order a most stores and takes about 14 days to arrive.  I ordered the Z Line on Friday and it was was at my door the following Thursday and saved $150 dollars on the product and free shipping.

The product is super well made and very easy to install.  The two hole mount and pigtail make this easier than an under cabinet model to install. I was not a fan of the instruction book but I would take bad instructions over a good product any day.

I would recommend this to everyone who want a high end look to your kitchen at a fraction of the cost.",03-04-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,Way better than name brand!,"I'm always worried about ordering bigger purchases online since you can't always tell the quality (especially with metal work) from photos online. But this unit, exceeded all of my expectations. It is top notch metal and design. Also I was surprised to find out that the vents facing the stove look like the cool commercial style vents that usually cost a lot more. Also shipping time was super fast and it was well packaged/secured in the box. Install was easy and the timed shut off feature is fantastic. Thumbs up all around from me and my fiancee.",02-19-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,5,I Paid How Much?,"I paid $299 for this range hood!  Why would anyone pay more?  I just received the unit today and unpacked it as soon as it came in the door.  I am going to do a kitchen remodel in 4 months and I'm getting all my supplies lined up way ahead in case something is wrong or doesn't work right.  I set this hood on my kitchen table and plugged it in to test the noise level(because they don't tell you on the page what the dba/sones are for the product in use).  This is a VERY QUIET MACHINE and the cubic feet per minute(cfm) is excellent.  With 4 speed levels and adjustable lights, they tilt back and forth, this exhaust hood rivals all that I've looked at.  I've been all over the web and to about 7 stores checking out range hoods and this one is as good as it gets, AND THE PRICE MAKES IT THE BEST DEAL!  If your looking to redo your kitchen or replace an existing hood, this model rocks.",01-30-2012
https://www.amazon.com/KB-36-Stainless-Steel-Mount-36-Inch/dp/B00E4O0R3I/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,1,Appliances,"ZLINE 36"" Convertible Vent Wall Mount Range Hood in Stainless Steel (KB-36)",4.2,4,nice but....,"This unit is very clean and nice looking.  However the instructions were pretty much usless.  The first page simply said, ""find middle point and measure out from there.""  Not telling how much to measure or how high unit is.
Works and looks great though.",11-09-2011
