Link,Id,Product_Category,Product_Name,Rating,Review_Rating,Review_Title,Review_Text,Review_Date,Review_Date
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Great Camera for the Money-- 1 year later review UPDATE,"Well I just picked it up and started playing with it so for now i give it 5 stars but I will re-review later on.
I shoot with a D700 right now and I sold my D90 just to buy this one, I was happy with the d90 but i wanted more ISO capabilities since i often shoot in clubs, weddings etc lots of low light situations. even thou is gonna be my back up camera for shows, it is going to be my main body for when i shoot and video at home my kids and such, so i wanted to make sure it was better than the D90, and so far it is.
i shot at 6400 iso under somewhat low light and it looks incredible, the colors and the noise just amaze me and that is why i give it a 5 stars, besides the other goodies that you all know, like the 1080 AF video, weather seal magnesium body, etc it improved a lot, I can only compare it to the D90 since i never used a d300(s), I wish the controls would match more to the d700 so i'm not all over looking for function buttons but oh well. I almost got a d300s just because of that.
I also wanted to point out that the test that i did, i used a nikon 24-70 F2.8 witch its a great sharp lens so that also helps.
Just make sure you know what functions you need and make a decision base on that, a simple but mighty D40 could be all you need.

find my stuff in facebook under [...]/OscarPallares. Photography

thx

UPDATE

Well a year has passed and i am still in love with this camera, i use it more than my d700, it matches the 35 1.8g lens very well for everyday shooting with awesome IQ. with the more expensive lens like my 24-70 2.8 it just shines at weddings. so don't be affraid to pull out the wallet this baby its so worth it.
you can see a lot of my images taken with this camera in fb BUT you won't be able to tell if they were taken with the d7k or d700 so for better camera description find me in flickr.
thanks.",10-17-2010,10-17-2010
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,"Superior to the D90 AND D300s, fantastic camera","I currently have a D5000 (and believe me, I wouldn't change it for the world as a relatively light, simple dSLR) but I wanted a full body DX and the D7000 was well worth the wait. It is aimed as an in-between D90 and D300s; however, it outshines them both.

Pros:
1) Saves and Recalls full sets of camera settings with new U1 and U2 positions on the dial.
2) It has 2 card slots, so you can save your pictures on both cards at the same time, creating an automatic backup.
3) New 2,016 segment RGB meter (yes, a full color RGB meter unlike Canon's black and white)
4) Magnesium alloy body makes it tough
5) It has an autofocus meter so it works and autofocuses all lenses (unlike my D500 which only autofocuses with AS lenses)
6) The built-in flash can be used as a remote commander for external flash units
Great processor; well placed, intuitive controls; amazing range of shutter speeds (from 30 secs to 1/8000 sec)

Although it also comes bundled with an 18-105mm lens, you can buy the body only and use it with the phenomenal VR 55-200 lens.",10-17-2010,10-17-2010
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Five Stars,Excellent!,01-06-2018,01-06-2018
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Great amount of bells and whistles in this camera!,Out of all the Nikon cameras I've owned this one is by far the best one!  Great amount of bells and whistles in this camera!,01-01-2018,01-01-2018
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,4,Good learning tool,Works well for intermediate level.  Good learning tool. Good for the at home photographer.,11-02-2017,11-02-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,I had been drooling over a new D7100 but I ...,I had been drooling over a new D7100 but I didn't want to spend the money so I took a chance on a used D7000. It was as advertised and works flawlessly.,11-01-2017,11-01-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Five Stars,very good,10-29-2017,10-29-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Five Stars,Perfect!,10-07-2017,10-07-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,4,Four Stars,Great camera. This was the second one my wife got.,10-03-2017,10-03-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Works great and gets super shots,Exceptional buy. Works great and gets super shots,08-12-2017,08-12-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Five Stars,"Best value for a camera, durable, great performance.",07-21-2017,07-21-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,1,Not Happy!,this item is used and in Chinese ... booklet in Chinese you have to download your own.. should say use on top item description! Not Happy!,07-14-2017,07-14-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Perfect upgrade,"I couldn't be happier with this purchase. Coming from a d5200 (maybe slightly downgrade?) I had to learn a few more settings, but once I did the abilities greatly increased. For the price this camera cannot be beat.",06-03-2017,06-03-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,but for the price it's great.,"It's certainly not as fancy as the newer models, but for the price it's great.",06-02-2017,06-02-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Five Stars,for the price it's incredible camera crop sensor better than d7100,05-03-2017,05-03-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Perfection!,"I absolutely LOVE this camera! Its in beautiful condition, practically brand new! Beautiful crisp clear images and EXCELLENT low light performance! I do a lot of nature and wildlife photography and this is definitely the correct tool for the job!",04-25-2017,04-25-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,it is what I needed my other camera has problems ...,it is what I needed my other camera has problems and this one can use my lens so all in need is the camera,03-26-2017,03-26-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Nice upgrade.,"I bought this used as an upgrade from my 5100.  Compared to the 5100, I enjoy the second card slot (and the fact that it's SD), the higher frames per second, the faster autofocus, longer battery life, dedicated aperture dial, and the additional focal points.  So while it's an older version of this series, even used, it was an upgrade for me.",03-23-2017,03-23-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,"This is a great camera, and the description supplied by the seller ...","I bought this camera as an upgrade to my Nikon D90.  This is a great camera, and the description supplied by the seller (FIVE STAR CAMERA) was very accurate.  In fact, it was in even better condition than I expected.  Would highly recommend this camera to anyone looking for a serious, yet economical camera.",03-06-2017,03-06-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Love the camera,Love the camera. I use it with a battery grip. It's a little small for my hands but easy to carry all day. Battery life is very good as is the image quality. For maximum quality use a fixed focal length lens. I prefer it to my 7100.,02-11-2017,02-11-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Been a Great Camera,"After an exhaustive search I finally decided to purchase the D7000.  My main criteria for purchasing this camera was to have a wide range of uses.  You are able to shoot both Pictures and Video with this Camera.  I have been using this camera for 6 months and have found the picture quality has been great and the video quality is also wonderful.  I really like the fact that the camera uses SDHC cards and has a two card set up on the camera.  It is easier to continue shooting, without having to worry about switching out your card.  I haven't had any problem with mine and would suggest this camera to anyone.

Don't fall into the trap that newer is better.  DSLR Cameras are all very comparable in many ways and I would suggest getting this camera at the right price over a lot of the newer models at full price!",02-09-2017,02-09-2017
https://www.amazon.com/Nikon-D7000-DSLR-Body-Only/dp/B0042X9LC4?th=1,29,Electronics,Nikon D7000 DSLR (Body Only) (OLD MODEL),4.6,5,Terrific camera! Separate aperture and shutter speed controls combined with 6FPS really make this camera shine!,"This is a terrific camera. I was coming off of a Nikon D3000, so this was quite the upgrade. One note: the D3000 seemed to produce ultra sharp (nearly jagged looking shots that I love, whereas the D7000 has a slightly smoother effect (which I also like). The D7000's ISO can really benefit darker shots at ISO 1600 or 3200 that really look nice, and the 6 frames per second is super helpful when you have small children who smile quickly, and then, just as quickly, wipe it right off of their face. The D7000 has 2 separate wheels for aperture and shutter speed control if you opt to shoot on ""M"" (Manual) mode, which I highly recommend. It's much harder on the D3xxx and D5xxx models, as they require an extra step, which makes a big difference when you are shooting very quickly on the fly, and have one chance to grab the best shot. I typically use a nifty fifty (50mm prime f/1.8) on this camera, or a 35mm (f/1.8) prime with the Sharpness setting maxed out and on Vivid mode with Saturation +1, but sometimes bump it up or down depending on the situation. I'm incredibly pleased, and yes, this camera is 7 years old, but you will not be sorry. Highly recommended!!",02-07-2017,02-07-2017
